Parallax,"""星察"""
Medium Team Heal Restore,"""团队生命补给（中型）"""
Medium Team Shield Restore,"""团队护盾补给（中型）"""
Menticide Nyx Helmet,"""灭神Nyx头盔"""
Meridian Trinity Helmet,"""经络Trinity头盔"""
MOA Cabinet Spawner,"""恐鸟储存柜"""
Mutalist Alad V Assassinate Key,"""异融Alad V刺杀钥匙"""
Nexus Fur Pattern,"""纳瑟斯毛皮花纹"""
Nightwatch Camouflage,"""夜巡者伪装迷彩"""
Omni Ammo Box,"""综合弹药箱"""
The Tekelu Collection,"""提奇鲁外观组合包"""
Orokin Reactor,"""Orokin反应堆"""
Orokin Catalyst,"""Orokin催化剂"""
Exilus Adapter,"""特殊功能槽连接器"""
Pahta,"""飞翔"""
Pistol Ammo Box,"""弹药箱"""
Pistol_Ammo_Box,"""弹药箱"""
Polar Glaxion Skin,"""冷冻光束步枪极地外观"""
Prisma Arrows,"""棱晶箭矢"""
Prisma Sigil,"""棱晶纹章"""
Proto-Glaive Skin,"""战刃原型外观"""
Pyra Sugatra,"""珮菈坠饰"""
Rahk Fluctus,"""巨浪拉克外观"""
Resource Booster,"""资源数量加成"""
Resource Drop Chance Booster,"""资源掉落几率加成"""
Reverb Banshee Helmet,"""Banshee返响头盔"""
Shield Restore,"""护盾回复"""
Shock Camo Pack,"""闪电迷彩包"""
Small Health Restore,"""生命补给（小型）"""
Starburst,"""光芒四射"""
Stealth Pack,"""隐秘潜入包"""
Stun Baton,"""电击棒"""
Synthesis Scanner,"""结合扫描器"""
Sugatra,"""坠饰"""
Synoid Syandana,"""枢议披饰"""
Team Ammo Restore,"""团队弹药补给（小型）"""
Team Bonus Consumables,"""团队补给消耗品"""
Team Energy Restore,"""团队能量补给"""
Team Shield Restore,"""团队护盾补给（小型）"""
Team Heal Restore,"""团队生命补给（小型）"""
Team Heal,"""团队医疗"""
Titan Extractor,"""泰坦采集机"""
Titan Extractor Prime,"""泰坦采集机Prime"""
Void Key,"""虚空钥匙"""
Void Keys,"""虚空钥匙"""
Winter Bundle,"""冬日组合包"""
Prime Eos Shoulder Plate,"""曙光女神肩甲Prime"""
Prime Eos Chest Plate,"""曙光女神胸甲Prime"""
Prime Eos Spurs,"""曙光女神马刺Prime"""
Prisma Hecate Syandana,"""棱晶朔月女神披饰"""
Prisma Daedalus Chest Plate,"""棱晶代达罗斯胸甲"""
Prisma Daedalus Shin Guard,"""棱晶代达罗斯护膝板"""
Prisma Daedalus Shoulder Guard,"""棱晶代达罗斯护肩"""
Prisma Jet Sentinel Wings,"""棱晶喷射机翼"""
Prisma Mech Head Sentinel Mask,"""棱晶机甲头盔面具"""
Day of the Dead Dark Sword Skin,"""暗影长剑亡灵节外观"""
Day of the Dead Weapon Skin Pack,"""亡灵节武器外观包"""
Elixis Redeemer,"""救赎者镀铜外观"""
Incubator Power Core,"""孵化器能量核心"""
Kubrow Egg,"""库狛蛋"""
Incubator,"""孵化器"""
Kavasa Prime,"""喀婆萨Prime"""
Kavasa Prime Collar,"""喀婆萨Prime项圈"""
Ictus Attachments,"""扬音守护配件"""
Simaris Helios Skin,"""Simaris外观赫利俄斯"""
Kavat Starter Kit,"""库娃初心者套装"""
Kavat Genetic Code,"""库娃遗传密码"""
Mod Pack,"""MOD包"""
Arbiters of Hexis,"""均衡仲裁者"""
Cephalon Suda,"""中枢苏达"""
Entropy,"""熵数"""
Genius,"""天才"""
Justice,"""正义"""
New Loka,"""新世间"""
Partner,"""伙伴"""
Red Veil,"""血色面纱"""
Steel Meridian,"""钢铁防线"""
The Perrin Sequence,"""佩兰数列"""
Perrin Sequence,"""佩兰数列"""
Aiming at Downed Enemy,"""对着倒地敌人"""
Button Combination,"""按键组合"""
Hold,"""按住"""
In Air,"""在空中"""
Launching Spring,"""升龙拳"""
Move,"""招式"""
Pause,"""暂停"""
Roaring Drums,"""狂吼战拳"""
Slide,"""滑行时"""
Through Strike,"""穿龙破"""
Wallrun,"""壁面蹬冲"""
Sands of Inaros,"""Inaros之沙"""
Operation Eyes of Blight,"""行动代号：毁灭之眼"""
Operation: Shadow Debt,"""行动代号：影子之债"""
Arid Fear Event,"""行动代号：沙漠恐惧"""
Artifact Defense Event,"""行动代号：神器防御"""
Avalanche Offensive,"""行动代号：雪崩进攻"""
Fusion Moa Event,"""行动代号：熔岩恐鸟"""
Informant Event,"""行动代号：Grineer通报者"""
Operation Breeding Grounds,"""行动代号：清巢"""
Operation Cryotic Front,"""行动代号：永冻晶矿前线"""
Operation: Mutalist Incursions,"""行动代号：异融者入侵"""
Sling-Stone Event,"""行动代号：机弦"""
Specters Of Liberty,"""魅影自由之战"""
Survival Weekend Event,"""生存周末活动"""
Tethra's Doom,"""行动代号：泰斯拉末日"""
The Cicero Crisis,"""行动代号：西塞罗危机"""
the Cicero Crisis,"""行动代号：西塞罗危机"""
The Gradivus Dilemma,"""行动代号：荧惑"""
The Hunt For Alad V,"""行动代号：追击Alad V"""
Operation False Profit,"""行动代号：变造利益"""
Operation Tubemen of Regor,"""行动代号：Regor的实验体"""
Gift Of The Lotus,"""Lotus的赏赐"""
Tactical Recall Bonus Weekend,"""战术警报重现奖励周末"""
A Favor For Darvo,"""协助Darvo"""
Ties That Bind,"""结为盟友"""
The Silver Grove,"""落银树庭"""
Update 7,"""更新7"""
Update 8,"""更新8"""
Update 9,"""更新9"""
Update 10,"""更新10"""
Update 11,"""更新11"""
Update 12,"""更新12"""
Update 13,"""更新13"""
Update 14,"""更新14"""
Update 15,"""更新15"""
Update 16,"""更新16"""
Update 17,"""更新17"""
Update 18,"""更新18"""
Update 19,"""更新19"""
Specters of the Rail,"""航道幽影"""
Closed Beta,"""内测"""
Cephalon Simaris,"""中枢Simaris"""
Color Pack Alpha,"""颜料包A"""
Color Pack Beta,"""颜料包B"""
Frugal Credit Bundle,"""节约套组"""
High Roller Credit Bundle,"""一掷千金套组"""
Wrecking Rhino Pack,"""破碎Rhino包"""
Aim,"""瞄准"""
Carpet Bomb,"""地毯式轰炸"""
Damage 2.0/Alloy Armor,"""合金装甲"""
Damage 2.0/Cloned Flesh,"""复制肉体"""
Damage 2.0/Electricity Damage,"""电击伤害"""
Damage 2.0/Ferrite Armor,"""铁制装甲"""
Damage 2.0/Finishing Damage,"""处决伤害"""
Damage 2.0/Flesh,"""肉体"""
Damage 2.0/Fossilized,"""化石"""
Damage 2.0/Infested,"""感染"""
Damage 2.0/Infested Flesh,"""感染肉体"""
Damage 2.0/I. Flesh,"""感染肉体"""
Damage 2.0/Infested Sinew,"""感染肌腱"""
Damage 2.0/Machinery,"""机械"""
Damage 2.0/Magnetic Damage,"""磁力伤害"""
Damage 2.0/Object,"""物件"""
Damage 2.0/Proto Shield,"""原型护盾"""
Damage 2.0/Puncture Damage,"""穿刺伤害"""
Damage 2.0/Robotic,"""机器"""
Damage 2.0/Shielded,"""护盾"""
Damage 2.0/Shield,"""护盾"""
Damage 2.0/Sinew,"""感染肌腱"""
Damage 2.0/Slash Damage,"""切割伤害"""
Damage 2.0/Cold Damage,"""冰冻伤害"""
Damage 2.0/Impact Damage,"""冲击伤害"""
Damage 2.0/Fire Damage,"""火焰伤害"""
Damage 2.0/Toxin Damage,"""毒素伤害"""
Damage 2.0/Radiation Damage,"""辐射伤害"""
Damage 2.0/Corrosive Damage,"""腐蚀伤害"""
Damage 2.0/Blast Damage,"""爆炸伤害"""
Damage 2.0/Gas Damage,"""毒气伤害"""
Glossary,"""游戏用语"""
Grineer Language,"""Grineer语"""
Med Tower,"""治愈之塔"""
Override,"""覆写"""
Settings,"""选项"""
Trivia,"""小常识"""
Patch History,"""更新历史"""
Mechanics,"""机制"""
Stats,"""详细信息"""
Gallery,"""相关图片"""
Acquisition,"""入手方法"""
Characteristics,"""特点"""
Tips,"""提示"""
Quotes,"""语录"""
Behavior,"""行动模式"""
See also,"""另见"""
References,"""引用"""
Comparisons,"""比较"""
Skins,"""外观"""
Tactics,"""行动策略"""
Sources,"""引用"""
Media,"""影音资料"""
Abilities,"""技能"""
Bugs,"""漏洞"""
Sentinel Loadouts,"""守护配装"""
Note,"""附注"""
Notes,"""附注"""
Legendary Mods,"""传说MOD"""
Primed Mods,"""Prime版MOD"""
Daily Tribute Rewards,"""每日献礼奖励"""
Archwing Weapons,"""Archwing武器"""
Archwing Abilities,"""Archwing技能"""
Channeled Abilities,"""持续消耗型技能"""
Dual Swords,"""双剑"""
Melee Weapons,"""近战武器"""
Slash Damage Weapons,"""切割伤害武器"""
Primary Weapons,"""主武器"""
Bow,"""弓"""
Puncture Damage Weapons,"""穿刺伤害武器"""
Single-Shot,"""单发"""
Sniper Rifles,"""狙击枪"""
Semi-Automatic,"""半自动"""
Tactical Alert Reward,"""战术警报奖励"""
Impact Damage Weapons,"""冲击伤害武器"""
Assault Rifle,"""突击步枪"""
Electricity Damage,"""电击伤害"""
Event Reward,"""活动奖励"""
Blast Damage,"""爆炸伤害"""
Augmented Weapons,"""强化武器"""
Syndicate Offerings,"""集团商品"""
Shotgun,"""霰弹枪"""
Launchers,"""发射器"""
Magnetic Damage,"""磁力伤害"""
Warframe China Timed Exclusive,"""星际战甲限时专享"""
Automatic,"""全自动"""
Hybrid Weapons,"""合成武器"""
Hybrid,"""多形态武器"""
Secondary Weapons,"""副武器"""
Dual Sidearms,"""双持副武器"""
Heat Damage,"""火焰伤害"""
Shotgun Sidearm,"""副手霰弹枪"""
Single Sidearm,"""单持副武器"""
Thrown,"""投掷类武器"""
Radiation Damage,"""辐射伤害"""
Community Concept,"""玩家创意"""
Baro Ki'Teer Offering,"""Baro Ki'Teer商品"""
Scythe,"""镰刀"""
Lore,"""背景知识"""
Heavy Blade,"""巨刃"""
Rapier,"""细剑"""
Holiday Content,"""节日特供"""
Polearm,"""长柄武器"""
Blade and Whip,"""剑鞭"""
Dual Daggers,"""双匕首"""
Hammer,"""锤"""
Cold Damage,"""冰冻伤害"""
Fist,"""拳套"""
Nunchaku,"""双截棍"""
Dagger,"""匕首"""
Sword,"""剑"""
Sword and Shield,"""剑盾"""
Gunblade,"""枪刃"""
Sparring,"""搏击"""
Staff,"""长棍"""
Whip,"""鞭"""
Claws,"""双爪"""
Tonfa,"""拐刃"""
Stance Mods,"""架式MOD"""
Orokin Language,"""Orokin语"""
Archwing Mods,"""Archwing机体MOD"""
Madurai Mods,"""Madurai极性MOD"""
Removed,"""已绝版"""
Burst Fire,"""连发点射"""
Sentinel Weapons,"""守护武器"""
Enemies,"""敌人"""
Warframe Mods,"""战甲MOD"""
Naramon Mods,"""Naramon极性MOD"""
Vazarin Mods,"""Vazarin极性MOD"""
Rifle Mods,"""步枪MOD"""
Assault Rifle Mods,"""突击步枪MOD"""
Pistol Mods,"""手枪MOD"""
Melee Mods,"""近战MOD"""
Ammo Mutation Mods,"""弹药转换MOD"""
Shotgun Mods,"""霰弹枪MOD"""
Clip Size Mods,"""弹匣容量MOD"""
Speculation,"""推测"""
Updateme,"""待更页面"""
Kavat Cosmetics,"""库娃外观"""
Common Mods,"""常见MOD"""
Uncommon Mods,"""罕见MOD"""
Penjaga Mods,"""Penjaga极性MOD"""
Rare Mods,"""稀有MOD"""
Kavat Mods,"""库娃MOD"""
Dual Stat Mods,"""双属性MOD"""
Nightmare Mode Mods,"""噩梦MOD"""
Kubrow Mods,"""库狛MOD"""
Plants,"""植物"""
Navbox,"""导航模板"""
Females,"""女性"""
Males,"""女性"""
Sortie Reward,"""突击奖励"""
Augmented Mods,"""强化MOD"""
Zenurik Mods,"""Zenurik极性MOD"""
Weapons Required as Crafting Ingredients,"""可用于铸造的武器"""
Enemy Weapon,"""敌人武器"""
Emplacement Weapons,"""场景武器"""
Corrosive Damage,"""腐蚀伤害"""
Dark Sector Reference,"""黑暗地带相关"""
Updates,"""更新"""
Viral Damage,"""病毒伤害"""
Components,"""组件"""
Resistance Mods,"""抗性MOD"""
Stamina Mods,"""耐力MOD"""
Channeling Mods,"""导引MOD"""
Liset Segments,"""登陆艇模块"""
Frontier Hellion,"""前线恶徒"""
Frontier Lancer,"""前线枪兵"""
Frontier Regulator,"""前线调整者"""
Frontier Heavy Gunner,"""前线重型机枪手"""
Nemes,"""自爆机"""
Carabus,"""自爆虫"""
Electric Damage,"""电击伤害"""
damaged,"""受损"""
Calculated Redirection,"""精算蓄能"""
Electrical Damage,"""电击伤害"""
Desert Heavy Gunner,"""沙漠重型机枪兵"""
Slash Damage,"""切割伤害"""
Variations,"""种类"""
Nav Coordinate,"""遗迹船导航坐标"""
Head,"""锤头"""
Handle,"""握柄"""
Ornament,"""饰物"""
Grip,"""弓身"""
Barrel,"""枪管"""
Disc,"""圆盘"""
String,"""弓弦"""
Upper Limb,"""上弓臂"""
Lower Limb,"""下弓臂"""
Pouch,"""镖袋"""
Stars,"""星标"""
Stock,"""枪托"""
Receiver,"""枪机"""
Blade,"""刀刃"""
Gauntlet,"""拳套"""
Helmet,"""头盔"""
Chassis,"""机体"""
System,"""系统"""
Neuroptics,"""头部神经光元"""
Neuroptics Blueprint,"""头部神经光元蓝图"""
Systems Blueprint,"""系统蓝图"""
System Blueprint,"""系统蓝图"""
Chassis Blueprint,"""机体蓝图"""
Harness,"""外甲"""
Wings,"""机翼"""
Harness Blueprint,"""外甲蓝图"""
Wings Blueprint,"""机翼蓝图"""
Collar Blueprint,"""项圈蓝图"""
Collar Band,"""项圈带"""
Collar Buckle,"""项圈扣"""
Hellion Power Carrier,"""核心搬运恶徒"""
Mutalist Osprey Carrier,"""异融能量运送者"""
Operation Sling-Stone,"""行动代号：机弦"""
Rubico,"""绝路"""
Radiation,"""辐射"""
Artifact,"""神器MOD"""
Brief Respite,"""快速休整"""
EMP Aura,"""电磁脉冲场"""
Empowered Blades,"""强化刀锋"""
Growing Power,"""成长之力"""
Pistol Amp,"""手枪增幅"""
Shotgun Amp,"""霰弹枪增幅"""
Stand United,"""团结一致"""
Warframes Comparison,"""战甲对比"""
Orphid Specter,"""兰花魅影"""
Feyarch Specter,"""精灵之王魅影"""
Knave Specter,"""无赖魅影"""
Thermagnetic Shells,"""热磁弹药"""
Kinetic Ricochet,"""动力回弹"""
Medi-Pet Kit,"""宠物治疗套件"""
Shield Charger,"""护盾充能"""
Static Discharge,"""静电释放"""
Pain Threshold,"""痛苦阈值"""
The Index,"""指数之场"""
Cephalon Sark,"""中枢Sark"""
Raptor RX,"""猛禽RX"""
Arson,"""纵火"""
Arctic,"""极寒"""
Specter (Gear),"""魅影（配备）"""
Attack Drone (Archwing Enemy),"""无人机（Corpus空战）"""
Sentients,"""Sentient"""
Ascaris,"""蛔虫"""
Streamlined Form,"""流线外形"""
Nightmare,"""噩梦"""
Seeking Shuriken,"""削甲手里剑"""
Fatal Teleport,"""致命传送"""
Path of Statues,"""化像之道"""
Sonic Fracture,"""破碎声波"""
Everlasting Ward,"""永恒之护"""
Vexing Retaliation,"""怨怒报复"""
Fire Fright,"""惊惧热浪"""
Firequake,"""烈焰爆震"""
Chilling Globe,"""冰封护罩"""
Infiltrate,"""渗透"""
Cataclysmic Continuum,"""灾变连连"""
Safeguard Switch,"""护卫传送"""
Fracturing Crush,"""高压粉碎"""
Ballistic Bullseye,"""弹道靶心"""
Staggering Shield,"""失衡护盾"""
Explosive Legerdemain,"""爆炸戏法"""
Despoil,"""掠夺（MOD）"""
Shield of Shadows,"""幽影之护"""
Safeguard,"""火绫守护"""
Pacifying Bolts,"""抚慰之风"""
Chaos Sphere,"""混乱领域"""
Assimilate,"""同化"""
Hallowed Eruption,"""圣域爆发"""
Piercing Roar,"""刺骨战吼"""
Regenerative Molt,"""蜕化再生"""
Contagion Cloud,"""感染毒雾"""
Pool of Life,"""生命之池"""
Abating Link,"""耗弱链接"""
Swing Line,"""摆荡钩索"""
Eternal War,"""永恒战意"""
Prolonged Paralysis,"""长时瘫痪"""
Perpetual Vortex,"""永动旋涡"""
Shocking Speed,"""电击加速"""
Divebomb Vortex,"""涡卷俯冲"""
Funnel Clouds,"""漏斗状云"""
Rift Haven,"""裂隙避难所"""
Tile Set,"""地图板块"""
Kuva Siphon,"""赤毒虹吸器"""
Twin Rogga,"""双子罗格"""
Kesheg,"""怯薛"""
Kuva Braid,"""赤毒织巾"""
Kuva Cloak,"""赤毒斗篷"""
Kuva Kavat Armor,"""赤毒库娃护甲"""
Kuva Kubrow Armor,"""赤毒库狛护甲"""
Continuity Collection,"""延续组合包"""
Kuva Fortress,"""赤毒要塞"""
The War Within,"""内战"""
Assault,"""强袭"""
Disrupter Drone,"""破坏型无人机"""
Vay Hek Terra Frame,"""Vay Hek地球外装战甲"""
Executioner Gorth,"""行刑者Gorth"""
Executioner Vay Molta,"""行刑者Vay Molta"""
status chance,"""触发几率"""
Riven Mods,"""裂罅MOD"""
Orvius,"""灵枢"""
Broken Scepter,"""破损珽杖"""
Zarr,"""沙皇"""
Cernos Prime,"""西诺斯Prime"""
Venka Prime,"""凯旋之爪Prime"""
Zenistar,"""天顶之星"""
Kuva Guardian,"""赤毒守卫者"""
Kuva Jester,"""赤毒小丑"""
Grineer Queens,"""Grineer双子女皇"""
Grineer Asteroid Fortress,"""Grineer小行星要塞"""
Kuva Ballista,"""赤毒弩炮"""
Kuva Bombard,"""赤毒轰击者"""
Kuva Butcher,"""赤毒屠夫"""
Kuva Dargyn,"""赤毒轻型艇"""
Kuva Elite Lancer,"""赤毒精英枪兵"""
Kuva Drahk Master,"""赤毒爪喀驯兽师"""
Kuva Eviscerator,"""赤毒开膛者"""
Kuva Flameblade,"""赤毒烈焰刀客"""
Kuva Heavy Gunner,"""赤毒重型机枪手"""
Kuva Hellion,"""赤毒恶徒"""
Kuva Hyekka Master,"""赤毒鬣猫驯兽师"""
Kuva Powerclaw,"""赤毒猛力爪兵"""
Kuva Roller,"""赤毒滚子"""
Kuva Lancer,"""赤毒枪兵"""
Kuva Napalm,"""赤毒火焰轰击者"""
Kuva Scorch,"""赤毒怒焚者"""
Kuva Scorpion,"""赤毒天蝎"""
Kuva Seeker,"""赤毒追踪者"""
Kuva Shield Lancer,"""赤毒盾枪兵"""
Kuva Trooper,"""赤毒骑兵"""
Raptors,"""猛禽"""
Frontier Trooper,"""前线骑兵"""
Triton Hydroid Helmet,"""Hydroid海之信使头盔"""
Dispatch Overdrive,"""超速击杀"""
Healing Return,"""治愈归复"""
Condition Overload,"""异况超量"""
Relentless Combination,"""残酷组合"""
Guardian Derision,"""奚落守护"""
Enduring Affliction,"""长时苦难"""
Icy Avalanche,"""冰冷雪崩"""
Corroding Barrage,"""腐蚀弹幕"""
Savior Decoy,"""救星诱饵"""
Reinforcing Stomp,"""践踏加固"""
Slo Comba,"""滞缓驱逐员"""
Nul Comba,"""虚无驱逐员"""
Sap Comba,"""衰竭驱逐员"""
Fog Comba,"""迷雾驱逐员"""
Slo Scrambus,"""滞缓扰敌员"""
Nul Scrambus,"""虚无扰敌员"""
Fog Scrambus,"""迷雾扰敌员"""
Sap Scrambus,"""衰竭扰敌员"""
Ryu Nikana Skin,"""侍刃「龙」外观"""
Turret,"""炮塔"""
Shrapnel Mine,"""霰弹地雷"""
Kuva Flood,"""赤毒洪潮"""
Golden Maw,"""黄金喉兽"""
Rashasi Polearm Skin,"""长柄武器罗刹外观"""
Lech Kril,"""Lech Kril中尉"""
Orokin Derelicts,"""被遗弃的Orokin船只"""
Orokin Tower,"""Orokin堡垒"""
Relic,"""遗物"""
Enhanced Vitality,"""构造强化"""
Accelerated Deflection,"""加速充能"""
Freight Line,"""货运线"""
Navigation Array,"""导航阵列"""
Canyon Settlement,"""峡谷殖民地"""
Operation: Tubemen of Regor,"""行动代号：Regor的实验体"""
Docking Bay,"""停靠港湾"""
Titania Solstice Skin,"""Titania冬至外观"""
Grineer Worker,"""Grineer工人"""
Moltecoil,"""热熔炸弹"""
Oracle Room,"""启示研究室"""
Organization Rooms,"""组建型房间"""
Interactive Rooms,"""互动型房间"""
Decorations,"""装饰品"""
Connector,"""接连件"""
Dueling Room,"""决斗房"""
Incense Container,"""焚香容器"""
Cairn,"""石堆纪念碑"""
Koi Pond,"""锦鲤池"""
Planter,"""盆栽"""
Storage Crate,"""储存箱"""
Wooden Bench,"""木质长椅"""
Yin Yang Garden,"""阴阳庭院"""
Floor Plate,"""地面拼花"""
Polychrome,"""彩象仪"""
Tenno Research Lab,"""Tenno实验室"""
Simulacrum Access Key,"""幻影装置存取密钥"""
Drifting Contact,"""漂移接触"""
Ash Koga Skin,"""Ash甲贺外观"""
Atlas Tartarus Helmet,"""Atlas炼狱头盔"""
Atlas Shikoro Helmet,"""Atlas兜围头盔"""
Banshee Soprana Skin,"""Banshee女高音外观"""
Cosmetics,"""外观"""
Augments,"""强化"""
Amaru Chroma Helmet,"""Chroma羽蛇神头盔"""
Kuva Cord Sugatra,"""赤毒绳结"""
Kuva Chest Plate,"""赤毒胸甲"""
Glyph Prism,"""浮印光谱"""
Glyph,"""浮印"""
Weapon Cosmetics,"""武器外观"""
Daman Sugatra,"""达曼坠饰"""
Mutalist Carrier Osprey,"""异融运输者鱼鹰"""
Arcane Distiller,"""赋能萃聚器"""
Riven Disposition,"""裂罅倾向性"""
Javlok,"""燃焰标枪"""
The Glast Gambit,"""Glast的千钧一策"""
Virulence,"""致病力"""
Larva,"""幼体"""
Parasitic Link,"""寄生链接"""
Ravenous,"""贪婪"""
Hema,"""血肢"""
Hirudo,"""蚂蝗"""
Thorac Syandana,"""胸廓披饰"""
Infested Salvage,"""Infested资源回收"""
Tether Grenades,"""系绳榴弹"""
Flux Overdrive,"""通量步枪超载"""
Antiserum Injector Fragment,"""抗血清注射器的碎片"""
Two-Handed Abilities,"""双手技能"""
Nidus Prion Helmet,"""Nidus朊毒头盔"""
Phoenix Ember Helmet,"""Ember凤凰头盔"""
Bullet Dance,"""刀锋弹舞"""
Helminth Hunt,"""Helminth狩猎"""
Kuva,"""赤毒"""
Ammo Case,"""弹药储转箱"""
Frost Harka Skin,"""Frost寒地牛怪外观"""
Ohma,"""欧玛"""
Sovereign Outcast,"""至尊浪人"""
Solar Flare,"""烈阳之焰"""
Adrenaline Boost,"""肾上腺激素"""
Final Act,"""搏命反扑"""
Hastened Steps,"""紧凑步伐"""
Heightened Reflexes,"""加剧反射"""
No Current Leap,"""无电流飞跃"""
Rime Vault,"""盖霜跳马"""
Searing Leap,"""灼热跳跃"""
Tactical Retreat,"""战术性撤退"""
Vital Systems Bypass,"""再生分流"""
